Ccode,Dcode,CharterNum,Scode,cds_code,county,district,School
01,61176,0000,6000566,01611766000566,ALAMEDA,FREMONT UNIFIED,CABRILLO ELEMENTARY
01,61176,0000,6000590,01611766000590,ALAMEDA,FREMONT UNIFIED,GRIMMER (E. M.) ELEMENTARY
01,61176,0000,6000624,01611766000624,ALAMEDA,FREMONT UNIFIED,GLENMOOR ELEMENTARY
01,61176,0000,6000640,01611766000640,ALAMEDA,FREMONT UNIFIED,GREEN (HARVEY) ELEMENTARY
01,61176,0000,6000665,01611766000665,ALAMEDA,FREMONT UNIFIED,DURHAM (J. HALEY) ELEMENTARY
01,61176,0000,6000681,01611766000681,ALAMEDA,FREMONT UNIFIED,AZEVADA (JOSEPH) ELEMENTARY
01,61176,0000,6000715,01611766000715,ALAMEDA,FREMONT UNIFIED,MALONEY (TOM) ELEMENTARY
01,61176,0000,6000723,01611766000723,ALAMEDA,FREMONT UNIFIED,MATTOS (JOHN G.) ELEMENTARY
01,61176,0000,6000749,01611766000749,ALAMEDA,FREMONT UNIFIED,MISSION VALLEY ELEMENTARY
01,61176,0000,6000756,01611766000756,ALAMEDA,FREMONT UNIFIED,NILES ELEMENTARY
01,61176,0000,6000764,01611766000764,ALAMEDA,FREMONT UNIFIED,HIRSCH (O. N.) ELEMENTARY
01,61176,0000,6000798,01611766000798,ALAMEDA,FREMONT UNIFIED,PARKMONT ELEMENTARY
01,61176,0000,6000806,01611766000806,ALAMEDA,FREMONT UNIFIED,PATTERSON ELEMENTARY
01,61176,0000,6000830,01611766000830,ALAMEDA,FREMONT UNIFIED,VALLEJO MILL ELEMENTARY
01,61176,0000,6000848,01611766000848,ALAMEDA,FREMONT UNIFIED,WARM SPRINGS ELEMENTARY
01,61176,0000,6056873,01611766056873,ALAMEDA,FREMONT UNIFIED,CENTERVILLE JUNIOR HIGH
01,61176,0000,6056881,01611766056881,ALAMEDA,FREMONT UNIFIED,WALTERS (G. M.) JUNIOR HIGH
01,61176,0000,6056907,01611766056907,ALAMEDA,FREMONT UNIFIED,HORNER (JOHN M.) JUNIOR HIGH
01,61176,0000,6056915,01611766056915,ALAMEDA,FREMONT UNIFIED,THORNTON JUNIOR HIGH
01,61176,0000,6056923,01611766056923,ALAMEDA,FREMONT UNIFIED,HOPKINS (WILLIAM) JUNIOR HIGH
01,61176,0000,6066468,01611766066468,ALAMEDA,FREMONT UNIFIED,GOMES (JOHN M.) ELEMENTARY
01,61176,0000,6089320,01611766089320,ALAMEDA,FREMONT UNIFIED,BROOKVALE ELEMENTARY
